id,email,password_hash,full_name,role,state,home_department_id,created_by,created_at,updated_at
1,root@tanseek.edu,$2b$12$syntheticHash01,System Root,SUPER_ADMIN,ACTIVE,,,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
2,ai.admin@tanseek.edu,$2b$12$syntheticHash02,AI Admin,ADMIN,ACTIVE,1,1,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
3,scheduler@tanseek.edu,$2b$12$syntheticHash03,Central Scheduler,SCHEDULER,ACTIVE,,1,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
4,registration@tanseek.edu,$2b$12$syntheticHash04,Registration Officer,REGISTRATION_OFFICER,ACTIVE,,1,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
5,ai.coordinator@tanseek.edu,$2b$12$syntheticHash05,AI Coordinator,DEPARTMENT_COORDINATOR,ACTIVE,1,1,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
6,cs.coordinator@tanseek.edu,$2b$12$syntheticHash06,CS Coordinator,DEPARTMENT_COORDINATOR,ACTIVE,2,1,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
7,lab.manager@tanseek.edu,$2b$12$syntheticHash07,Lab Manager,LAB_MANAGER,ACTIVE,,1,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
8,dina.hassan@tanseek.edu,$2b$12$syntheticHash08,Dr Dina Hassan,LECTURER,ACTIVE,1,1,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
9,karim.adel@tanseek.edu,$2b$12$syntheticHash09,Dr Karim Adel,LECTURER,ACTIVE,1,1,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
10,mona.samir@tanseek.edu,$2b$12$syntheticHash10,Dr Mona Samir,LECTURER,ACTIVE,2,1,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
11,ahmed.nabil@tanseek.edu,$2b$12$syntheticHash11,Dr Ahmed Nabil,LECTURER,ACTIVE,2,1,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
12,nour.ali@tanseek.edu,$2b$12$syntheticHash12,Eng Nour Ali,TA,ACTIVE,1,1,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
