id,university_id,full_name,email,department_id,academic_level,account_id,status,created_at,updated_at
1,AI27001,Adam Samir,adam.samir1@student.tanseek.edu,1,3,16,ACTIVE,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
2,AI27002,Aya Wael,aya.wael2@student.tanseek.edu,1,3,17,ACTIVE,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
3,AI27003,Mariam Ashraf,mariam.ashraf3@student.tanseek.edu,1,3,18,ACTIVE,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
4,AI27004,Yassin Khaled,yassin.khaled4@student.tanseek.edu,1,3,19,ACTIVE,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
5,AI27005,Malak Tarek,malak.tarek5@student.tanseek.edu,1,3,20,ACTIVE,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
6,AI27006,Omar Ramy,omar.ramy6@student.tanseek.edu,1,3,21,ACTIVE,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
7,AI27007,Laila Ibrahim,laila.ibrahim7@student.tanseek.edu,1,3,22,ACTIVE,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
8,AI27008,Ziad Hassan,ziad.hassan8@student.tanseek.edu,1,3,23,ACTIVE,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
9,AI27009,Nour Gamal,nour.gamal9@student.tanseek.edu,1,3,24,ACTIVE,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
10,AI27010,Mostafa Mahmoud,mostafa.mahmoud10@student.tanseek.edu,1,3,25,ACTIVE,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
11,AI27011,Hana Nabil,hana.nabil11@student.tanseek.edu,1,3,26,ACTIVE,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
12,AI27012,Ali Amin,ali.amin12@student.tanseek.edu,1,3,27,ACTIVE,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
13,AI27013,Farah Fathy,farah.fathy13@student.tanseek.edu,1,3,28,ACTIVE,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
14,AI27014,Youssef Adel,youssef.adel14@student.tanseek.edu,1,3,29,ACTIVE,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
15,AI27015,Salma Hany,salma.hany15@student.tanseek.edu,1,3,30,ACTIVE,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
16,AI27016,Ahmed Sayed,ahmed.sayed16@student.tanseek.edu,1,3,31,ACTIVE,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
17,CS27001,undefined Samir,undefined.samir17@student.tanseek.edu,2,3,32,ACTIVE,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
18,CS27002,undefined Wael,undefined.wael18@student.tanseek.edu,2,3,33,ACTIVE,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
19,CS27003,undefined Ashraf,undefined.ashraf19@student.tanseek.edu,2,3,34,ACTIVE,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
20,CS27004,undefined Khaled,undefined.khaled20@student.tanseek.edu,2,3,35,ACTIVE,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
21,CS27005,undefined Tarek,undefined.tarek21@student.tanseek.edu,2,3,36,ACTIVE,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
22,CS27006,undefined Ramy,undefined.ramy22@student.tanseek.edu,2,3,37,ACTIVE,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
23,CS27007,undefined Ibrahim,undefined.ibrahim23@student.tanseek.edu,2,3,38,ACTIVE,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
24,CS27008,undefined Hassan,undefined.hassan24@student.tanseek.edu,2,3,39,ACTIVE,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
25,CS27009,undefined Gamal,undefined.gamal25@student.tanseek.edu,2,3,40,ACTIVE,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
26,CS27010,undefined Mahmoud,undefined.mahmoud26@student.tanseek.edu,2,3,41,ACTIVE,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
27,CS27011,undefined Nabil,undefined.nabil27@student.tanseek.edu,2,3,42,ACTIVE,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
28,CS27012,undefined Amin,undefined.amin28@student.tanseek.edu,2,3,43,ACTIVE,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
29,CS27013,undefined Fathy,undefined.fathy29@student.tanseek.edu,2,3,44,ACTIVE,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
30,CS27014,undefined Adel,undefined.adel30@student.tanseek.edu,2,3,45,ACTIVE,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
31,CS27015,undefined Hany,undefined.hany31@student.tanseek.edu,2,3,46,ACTIVE,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
32,CS27016,undefined Sayed,undefined.sayed32@student.tanseek.edu,2,3,47,ACTIVE,2027-08-01T09:00:00Z,2027-08-01T09:00:00Z
